transaction_id,transaction_date,year,month,month_name,day_name,source_system,source_type,channel_id,sales_channel,customer_id,customer_segment,product_id,product_name,product_category,location_id,city,province,quantity,unit_price,gross_sales,promo_name,voucher_code,discount_rate,discount_amount,net_sales,payment_method,order_status
TRX00001,2025-01-01,2025,1,January,Wednesday,CSV Marketplace,CSV,C003,GoFood,CU0174,Loyal,P001,Kopi Susu Gula Aren,Minuman,L006,Bogor,Jawa Barat,1,18000,18000,Diskon Produk,DISKON10,0.1,1800,16200,Kartu Debit,Selesai
TRX00002,2025-01-01,2025,1,January,Wednesday,Excel Cabang,Excel,C001,POS Kasir,CU0007,Reguler,P007,Brownies Cokelat,Snack,L001,Bekasi,Jawa Barat,1,30000,30000,Tidak Ada,,0.0,0,30000,Kartu Debit,Selesai
TRX00003,2025-01-02,2025,1,January,Thursday,CSV Marketplace,CSV,C001,POS Kasir,CU0040,Baru,P010,Paket Hemat UMKM,Paket,L003,Jakarta Selatan,DKI Jakarta,2,45000,90000,Tidak Ada,,0.0,0,90000,E-Wallet,Selesai
TRX00004,2025-01-02,2025,1,January,Thursday,API Marketplace,API,C003,GoFood,CU0118,Reguler,P007,Brownies Cokelat,Snack,L001,Bekasi,Jawa Barat,2,30000,60000,Voucher Ongkir,ONGKIR5,0.05,3000,57000,COD,Selesai
TRX00005,2025-01-02,2025,1,January,Thursday,API Marketplace,API,C005,Tokopedia,CU0012,Reguler,P005,Nasi Goreng Spesial,Makanan,L006,Bogor,Jawa Barat,2,27000,54000,Diskon Produk,DISKON10,0.1,5400,0,E-Wallet,Refund
TRX00006,2025-01-02,2025,1,January,Thursday,API Marketplace,API,C004,GrabFood,CU0042,Reguler,P004,Nasi Ayam Geprek,Makanan,L001,Bekasi,Jawa Barat,2,25000,50000,Voucher Ongkir,ONGKIR5,0.05,2500,47500,Transfer Bank,Selesai
TRX00007,2025-01-02,2025,1,January,Thursday,Excel Cabang,Excel,C006,Website,CU0063,Baru,P012,Dimsum Ayam,Makanan,L006,Bogor,Jawa Barat,2,28000,56000,Tidak Ada,,0.0,0,56000,COD,Selesai
TRX00008,2025-01-03,2025,1,January,Friday,CSV Marketplace,CSV,C001,POS Kasir,CU0103,Baru,P011,Paket Kopi dan Snack,Paket,L003,Jakarta Selatan,DKI Jakarta,3,35000,105000,Voucher Ongkir,ONGKIR5,0.05,5250,0,Transfer Bank,Dibatalkan
TRX00009,2025-01-03,2025,1,January,Friday,CSV Marketplace,CSV,C003,GoFood,CU0165,Reguler,P010,Paket Hemat UMKM,Paket,L006,Bogor,Jawa Barat,2,45000,90000,Tidak Ada,,0.0,0,90000,E-Wallet,Selesai
TRX00010,2025-01-03,2025,1,January,Friday,API Marketplace,API,C005,Tokopedia,CU0150,Reguler,P012,Dimsum Ayam,Makanan,L005,Tangerang,Banten,2,28000,56000,Tidak Ada,,0.0,0,0,Transfer Bank,Refund
